name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
De Toqueville - Terrasse,48.882428,2.314002,30,0,True,0,1970-01-01 00:00:01.697702083+00:00,True,1,1,30,17048,2023-10-19 08:13:57.790000+00:00,100.0
Michel-Ange - Parent de Rosan,48.84057992369012,2.2584119439125065,20,5,False,1,1970-01-01 00:00:01.697701886+00:00,False,1,1,26,16118,2023-10-19 08:13:58.223000+00:00,76.92307692307693
Lagny - Victor Basch,48.84884147189881,2.426325418925233,10,15,True,1,1970-01-01 00:00:01.697702161+00:00,True,1,1,26,43002,2023-10-19 08:13:57.760000+00:00,38.46153846153847
Serrurier,48.8804934032465,2.39806417375803,17,0,False,0,1970-01-01 00:00:01.697702114+00:00,False,1,1,18,19027,2023-10-19 08:13:56.509000+00:00,94.44444444444444
Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,13,9,False,5,1970-01-01 00:00:01.697702203+00:00,False,1,1,23,92002,2023-10-19 08:13:56.455000+00:00,56.52173913043478
Louis Lejeune - Barbès,48.81807418981508,2.326700985431672,17,8,False,3,1970-01-01 00:00:01.697701893+00:00,False,1,1,25,21216,2023-10-19 08:13:58.132000+00:00,68.0
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,2,23,True,11,1970-01-01 00:00:01.697702226+00:00,True,1,1,26,6029,2023-10-19 08:13:58.326000+00:00,7.6923076923076925
Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,22,0,False,0,1970-01-01 00:00:01.697702012+00:00,False,1,1,22,22207,2023-10-19 08:13:58.166000+00:00,100.0
Boétie - Ponthieu,48.871417284355,2.3076787590981,0,31,True,15,1970-01-01 00:00:01.697702207+00:00,True,1,1,33,8050,2023-10-19 08:13:57.899000+00:00,0.0
Custine - Ramey,48.888735896947,2.3469526693225,38,2,True,1,1970-01-01 00:00:01.697701949+00:00,True,1,1,41,18015,2023-10-19 08:13:58.755000+00:00,92.6829268292683
Pyrénées - Ménilmontant,48.8693268535238,2.395084574818611,25,0,False,0,1970-01-01 00:00:01.697702104+00:00,False,1,1,26,20035,2023-10-19 08:13:56.652000+00:00,96.15384615384616
Caire - Dussoubs,48.86785342111862,2.349364310503006,32,8,False,4,1970-01-01 00:00:01.697702127+00:00,False,1,1,40,2017,2023-10-19 08:13:57.997000+00:00,80.0
Tour d'Auvergne - Rodier,48.879161,2.343698,15,2,False,2,1970-01-01 00:00:01.697701897+00:00,False,1,1,17,9008,2023-10-19 08:13:58.165000+00:00,88.23529411764706
Assemblée Nationale,48.861411014652,2.3201214185208,40,23,True,7,1970-01-01 00:00:01.697701832+00:00,True,1,1,63,7009,2023-10-19 08:13:57.065000+00:00,63.49206349206349
Dunkerque - Alsace,48.879355,2.358379,19,1,False,1,1970-01-01 00:00:01.697702130+00:00,False,1,1,20,10027,2023-10-19 08:13:57.214000+00:00,95.0
Liard - Amiral Mouchez,48.8214169,2.342167,10,4,True,3,1970-01-01 00:00:01.697702048+00:00,True,1,1,14,14013,2023-10-19 08:13:58.389000+00:00,71.42857142857143
